objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
Century: Spice Road,209685,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86471976,7.12531,7.30622,1.8003,340,32239,thing,Century: Spice Road,2,5,45,45,30,2017,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Cephalopod,22790,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93442773,5.49817,5.50089,2.4545,22244,67,thing,Cephalopod,2,2,30,30,30,2006,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Chakra,267378,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,75706315,6.22399,6.88034,1.7551,1929,3718,thing,Chakra,1,4,30,30,30,2019,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Champions of Midgard,172287,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472295,7.44561,7.72324,2.6115,139,24504,thing,Champions of Midgard,2,4,90,90,60,2015,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Checkers (Brazilian),157416,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71331402,5.51866,7.19667,1,17292,26,thing,Brazilian Checkers,2,2,20,20,20,1930,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Checkers (International),26952,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71331381,5.59894,6.45904,2.5333,8425,379,thing,International Checkers,2,2,40,40,40,1600,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Checkers (Russian),57409,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71331396,5.51493,6.54388,1.6667,18262,48,thing,Shashki,2,2,30,30,30,1680,,,,No necessary in-game text,,,,,,standalone,,,,,
Checkers (Straight),2083,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307280,4.98895,4.9268,1.7211,26264,11198,thing,Checkers,2,2,30,30,30,1150,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Chess,171,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307126,7.00979,7.20532,3.6553,447,53103,thing,Chess,2,2,0,0,0,1475,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Chess (Chess960),12608,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71331417,5.63164,7.63525,3.2083,7203,131,thing,Chess960,2,2,180,180,10,1996,,,8+,,,,,,,standalone,,,,,
Chimera Station,163642,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88365233,6.4976,7.221,3.1413,1208,4651,thing,Chimera Station,2,4,90,90,60,2017,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
China Gold,13928,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308319,5.54026,5.85391,2.28,13007,133,thing,Chinagold,2,2,30,30,30,2004,,,,No necessary in-game text,,,,,,standalone,,,,,
Chinese Checkers,2386,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,82980485,5.22035,5.17599,1.5984,26230,6772,thing,Chinese Checkers,2,6,30,30,30,1893,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Chocolate Factory,240567,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,86424470,6.308,7.08495,2.8537,1655,2916,thing,Chocolate Factory,1,4,90,90,45,2019,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Chromino,13328,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87138202,5.47254,5.47642,1.2353,25033,1252,thing,Chromino,1,8,30,30,30,2001,,,5+,No necessary in-game text,,,,,,standalone,,,,,
Cicera Bigia,287689,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472739,0,6.16667,1,0,8,thing,Cicera Bigia,2,4,15,15,5,1700,,,,No necessary in-game text,,,,,,standalone,,,,,
Cinch,6912,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697812,5.51457,6.15,2.3333,18356,33,thing,Cinch,4,4,60,60,60,0,,,12+,,,,,,,standalone,,,,,
Cinco,87288,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307354,5.50778,5.65348,1.3333,20096,73,thing,Cinco,2,6,10,10,10,2010,,,,No necessary in-game text,,,,,,standalone,,,,,
Circle of Life,184730,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307883,5.58894,6.68822,2,8929,49,thing,Circle of Life,2,2,40,40,20,2015,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Citadels,205398,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,86864939,6.95627,7.25315,2.0358,506,25970,thing,Citadels,2,8,60,60,30,2016,,,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
City of the Big Shoulders,214880,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,79315772,6.74343,7.76425,4.0063,784,2544,thing,City of the Big Shoulders,2,4,180,180,120,2019,,,14+,No necessary in-game text,,,,,,standalone,,,,,
Clans of Caledonia,216132,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307009,7.68312,7.94515,3.4569,65,21761,thing,Clans of Caledonia,1,4,120,120,30,2017,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Clash of Decks: Starter Kit,334307,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472409,5.74146,6.38182,2,5050,3296,thing,Clash of Decks: Starter Kit,1,2,30,30,15,2020,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Cloud City,313963,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,85725188,5.88755,6.49727,1.2444,3603,2105,thing,Cloud City,2,4,60,60,30,2020,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Codex Naturalis,314503,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81984733,6.61638,7.23068,1.7475,990,8467,thing,Codex Naturalis,1,4,30,30,20,2021,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Coin Age,146130,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472236,5.71657,5.99327,1.3462,5414,4877,thing,Coin Age,2,2,15,15,15,2013,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Coinche,15722,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,72567660,5.63402,6.59318,2.6364,7139,305,thing,Belote,2,4,20,20,20,1930,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Coins,373385,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99889650,0,3.67647,0,0,10,thing,Coins,3,3,0,0,0,2022,,,,,,,,,,standalone,,,,,
Color Flush,378010,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104596098,5.43555,4.57727,1,25871,71,thing,Color Flush,3,6,20,20,0,2023,,,,No necessary in-game text,,,,,,standalone,,,,,
Color Pop,125028,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71307115,5.49471,5.50507,1.1957,22886,377,thing,Colorpop,1,5,20,20,10,2011,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Coloretto,5782,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307098,6.82837,6.97982,1.2744,662,28391,thing,Coloretto,2,5,30,30,30,2003,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Colt Express,158899,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307052,6.95906,7.09498,1.8297,502,45699,thing,Colt Express,2,6,40,40,40,2014,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Commander Chess,191203,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,91431315,5.49925,5.86765,0,22040,22,thing,Commander Chess,2,2,0,0,0,2010,,,,,,,,,,standalone,,,,,
Con Sonar!,308357,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77640277,5.41886,3.39481,1.5,25968,8,thing,Con Sonar!,2,6,30,30,10,2011,,,,,,,,,,standalone,,,,,
Concept,147151,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77452180,6.60673,6.76156,1.3743,1007,33002,thing,Concept,4,12,40,40,40,2013,,,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Connect Four,2719,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71520609,5.01111,4.95894,1.1867,26261,13358,thing,Connect Four,2,2,10,10,10,1974,,,5+,No necessary in-game text,,,,,,standalone,,,,,
Connect6,22847,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77208254,5.57936,6.36258,2.5455,9496,101,thing,Connect6,2,2,30,30,30,2003,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Conspiracy: Abyss Universe,276042,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696588,6.53598,7.23946,1.7959,1142,5609,thing,Conspiracy: Abyss Universe,2,4,30,30,30,2019,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Contract Rummy,40004,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88566664,5.57973,6.47657,1.8571,9475,177,thing,Contract Rummy,3,8,120,120,120,1930,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Copenhagen,269595,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,91309524,6.44669,6.97379,1.6709,1328,4928,thing,Copenhagen,2,4,40,40,20,2019,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Cosmos: Empires,365211,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99466189,5.5104,5.85826,1.8,19410,54,thing,Cosmos: Empires,2,8,45,45,15,2022,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Coup,131357,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307064,6.84441,6.98203,1.4086,644,80383,thing,Coup,2,6,15,15,15,2012,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Coup: Reformation,148931,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71332916,6.72977,7.25537,1.5918,0,19148,thing,Coup: Reformation,2,10,15,15,15,2013,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Coupell,233395,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93442777,5.51392,6.23488,0,0,14,thing,Coupell,2,2,40,40,25,2017,,,,,,,,,,standalone,,,,,
Crazy Eights,11017,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472431,5.08959,4.41908,1.0674,26251,1310,thing,Crazy Eights,2,5,20,20,20,0,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Crazy Farmers and the Clôtures Électriques,302238,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,72079375,5.48808,5.64423,1.8333,23806,90,thing,Crazy Farmers and the Clôtures Électriques,1,4,60,60,30,2020,,,8+,,,,,,,standalone,,,,,
The Crew: Mission Deep Sea,324856,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86456868,7.84937,8.16186,2.0404,35,34620,thing,The Crew: Mission Deep Sea,2,5,20,20,20,2021,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
The Crew: The Quest for Planet Nine,284083,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,75511263,7.66525,7.80833,1.9545,70,78907,thing,The Crew: The Quest for Planet Nine,2,5,20,20,20,2019,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Cribbage,2398,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77269857,6.78401,7.09043,1.9026,713,16358,thing,Cribbage,2,6,30,30,30,1630,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Crime Zoom: A Dirty Objective,356303,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,91817635,5.49423,5.38779,2,22971,11,thing,Crime Zoom: A Dirty Objective,1,6,60,60,60,2022,,,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Crusaders: Thy Will Be Done,170624,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,91074407,6.8453,7.47706,2.4519,641,6262,thing,Crusaders: Thy Will Be Done,2,4,60,60,40,2018,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
CuBirds,245476,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,80693863,6.56307,6.92843,1.3216,1081,9951,thing,CuBirds,2,5,20,20,20,2018,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Cubosaurs,355881,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99889692,5.63928,6.16652,1.2778,6974,630,thing,Cubosaurs,2,5,20,20,20,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Daihinmin,20533,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,82185485,5.52,6.06515,1.3333,16991,50,thing,Daihinmin,3,6,10,10,10,0,,,,No necessary in-game text,,,,,,standalone,,,,,
Dark Agent,189201,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307935,5.46059,4.5,3.2,25469,12,thing,Dark Agent,1,6,40,40,20,2015,,,12+,,,,,,,standalone,,,,,
Decrypto,225694,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,105059706,7.54049,7.77066,1.8101,96,36008,thing,Decrypto,3,8,45,45,15,2018,,,10+,Unplayable in another language,,,,,,standalone,,,,,
Le Dernier Peuple,189203,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308298,5.47652,4.35811,1.25,24835,9,thing,Le Dernier Peuple,3,5,30,30,15,2015,,,8,,,,,,,standalone,,,,,
Detective Poker,329640,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,82155888,5.46126,3.72045,1,25443,6,thing,Detective Poker,3,4,50,50,25,2014,,,,,,,,,,standalone,,,,,
Deus,162082,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472206,6.93993,7.28101,2.8248,530,10984,thing,Deus,2,4,90,90,60,2014,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Diablo,370756,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98011644,0,4.30042,0,0,8,thing,Diablo,2,2,0,0,0,2022,,,,,,,,,,standalone,,,,,
Diam's,116975,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307927,5.47761,5.05889,1.875,24774,25,thing,Diam's,2,5,20,20,20,2011,,,8,No necessary in-game text,,,,,,standalone,,,,,
Dice Forge,194594,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71306827,7.02418,7.22969,1.9735,432,33923,thing,Dice Forge,2,4,45,45,45,2017,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Dice Forge: Rebellion,258003,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83133595,6.37784,7.60005,2.4545,0,7981,thing,Dice Forge: Rebellion,2,4,40,40,40,2019,,,10+,No necessary in-game text,,,,,,expansion,,,,,
Dice Hospital,218121,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83471009,6.7034,7.1255,2.295,844,9895,thing,Dice Hospital,1,4,90,90,45,2018,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Dice Hospital: Community Care,281210,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83492457,5.68867,7.56817,3,0,1828,thing,Dice Hospital: Community Care,1,4,90,90,45,2020,,,,,,,,,,expansion,,,,,
Dice Hospital: Deluxe Add-Ons Box,237901,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83492471,5.87649,7.29941,2,0,3174,thing,Dice Hospital: Deluxe Add-Ons Box,1,4,90,90,45,2018,,,,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Dice Hospital: ER – Emergency Roll,334646,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98957537,5.66779,6.52489,1.9091,6306,848,thing,Dice Hospital: ER – Emergency Roll,1,6,30,30,20,2022,,,8+,,,,,,,standalone,,,,,
Dice Summoners,252544,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697960,5.47639,5.38905,2,24844,57,thing,Dice Summoners,2,2,60,60,30,2018,,,14+,,,,,,,standalone,,,,,
Dice Theme Park,311725,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94822725,5.78214,6.64537,3.0769,4548,1841,thing,Dice Theme Park,1,4,90,90,75,2022,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Diceathlon,375553,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102498143,5.46783,5.11543,1,25239,30,thing,Diceathlon,2,99,45,45,30,2022,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Diced Tomatoes,259708,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,84856511,5.46788,5.15942,1.75,25238,12,thing,Diced Tomatoes,2,4,30,30,15,2018,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Dingo's Dreams: Kickstarter Edition,310602,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,79988904,0,6.15625,0,0,37,thing,Dingo's Dreams: Kickstarter Edition,2,5,30,30,20,2016,,,,,,,,,,standalone,,,,,
Dinner in Paris,320819,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96221481,5.89283,6.79773,2.1818,3558,1669,thing,Dinner in Paris,2,4,60,60,40,2020,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Dinosaur Tea Party,247160,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697190,5.87224,6.43526,1.2083,3721,2741,thing,Dinosaur Tea Party,3,5,30,30,15,2018,,,5+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
District Noir,216497,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472697,6.16345,7.01266,1.2727,2148,3297,thing,District Noir,2,2,20,20,10,2016,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Djambi,17691,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308336,5.53439,6.54482,2.6667,13969,92,thing,Djambi,3,4,60,60,60,1968,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Dodo,344017,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93442811,5.47297,4.82468,1.5,25008,21,thing,Dodo,2,2,0,0,0,2021,,,8–4,,,,,,,standalone,,,,,
Dog Lover,344839,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104311950,5.92725,6.79093,1.75,3334,2164,thing,Dog Lover,2,4,30,30,30,2021,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Don't Go In There,346057,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,98432472,5.79212,6.65866,1.6364,4427,1776,thing,Don't Go In There,2,5,35,35,25,2022,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
DONUTS,341358,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88566685,5.67415,6.43914,1.5455,6168,320,thing,DONUTS,2,2,15,15,10,2023,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Dou Dizhu,32288,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100342211,5.59487,6.96,2.2143,8636,103,thing,Dou Dizhu,3,4,30,30,30,0,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Downforce,215311,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,73113577,7.03794,7.30105,1.7228,419,18790,thing,Downforce,2,6,40,40,20,2017,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Downforce: Danger Circuit,242213,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,73113593,6.49321,7.82478,1.8696,0,5325,thing,Downforce: Danger Circuit,2,6,40,40,20,2018,,,6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Downforce: Wild Ride,281941,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,73113598,6.18035,7.92217,2,0,3206,thing,Downforce: Wild Ride,2,6,40,40,20,2020,,,8+,,,,,,,expansion,,,,,
Draft Cider,360266,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94518941,5.47235,4.68382,1,25038,8,thing,Draft Cider,1,6,0,0,0,2022,,,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Draftosaurus,264055,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,80051157,6.86516,7.10164,1.2409,626,22307,thing,Draftosaurus,2,5,15,15,15,2019,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Dragon Bridge,286031,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94109214,5.47761,5.24643,2.3333,24775,57,thing,Dragon Bridge,2,2,30,30,15,2019,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Dragon Castle,232219,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307237,6.75261,7.12819,1.9792,765,11416,thing,Dragon Castle,1,4,45,45,30,2017,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Dragon Keeper: The Dungeon,185344,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307908,5.54458,5.95081,2,12446,396,thing,Dragon Keeper: The Dungeon,2,4,30,30,20,2016,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Dragon Line,156576,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308320,5.44374,3.77857,1.75,25778,12,thing,Dragon Line,2,2,20,20,20,2014,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Dragonheart,66171,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307239,6.12842,6.50306,1.3553,2310,3702,thing,Dragonheart,2,2,30,30,30,2010,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Dragonwood,172933,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696017,6.17277,6.5821,1.3426,2111,11305,thing,Dragonwood,2,4,20,20,20,2015,,,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Drones VS Goélands,354842,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97712473,5.55205,6.44748,1.6667,11607,161,thing,Drones VS Goélands,1,2,20,20,15,2022,,,,,,,,,,standalone,,,,,
Dungeon Petz,97207,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81697152,7.15237,7.4026,3.621,318,19493,thing,Dungeon Petz,2,4,90,90,90,2011,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Dungeon Roll,138788,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77598295,5.92199,6.08847,1.3284,3369,15493,thing,Dungeon Roll,1,4,30,30,15,2013,,,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Dungeon Twister,12995,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307274,6.43845,6.81005,2.8841,1347,7958,thing,Dungeon Twister,2,2,60,60,60,2004,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Dungeon Twister: 3/4 Players Expansion,14533,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71331610,5.81823,7.00937,3.0172,0,1791,thing,Dungeon Twister: 3/4 Players Expansion,3,4,60,60,60,2005,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Dungeon Twister: Paladins & Dragons,13809,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71331605,6.01864,7.45179,3.0988,0,2606,thing,Dungeon Twister: Paladins & Dragons,2,2,60,60,60,2004,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Earth,350184,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102498133,7.35895,7.7076,2.8772,186,22002,thing,Earth,1,5,90,90,45,2023,,,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Ecliptic Travelers,323711,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,90174954,0,4.625,0,0,4,thing,Ecliptic Travelers,2,5,20,20,5,2020,,,,,,,,,,standalone,,,,,
Egocentric World,300226,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472679,5.45118,4.34014,1,25667,35,thing,Egocentric World,1,6,45,45,15,2020,,,,No necessary in-game text,,,,,,standalone,,,,,
EKONOS (Second Edition),345520,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,95375017,5.55331,6.59394,2,11488,113,thing,EKONOS (Second Edition),2,6,60,60,45,2022,,,,No necessary in-game text,,,,,,standalone,,,,,
Elfenland,10,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307208,6.43611,6.6799,2.153,1353,11194,thing,Elfenland,2,6,60,60,60,1998,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Eminent Domain,68425,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307100,6.72533,6.98503,2.5055,816,13667,thing,Eminent Domain,2,4,45,45,45,2011,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Eminent Domain: Microcosm,163640,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,82860381,5.87454,6.3351,1.9753,3703,4291,thing,Eminent Domain: Microcosm,2,2,15,15,15,2014,,,14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Equinox,329450,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,97048772,6.05007,6.72752,2.0476,2626,4046,thing,Equinox,2,5,60,60,40,2021,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Eriantys,341286,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99889592,5.62805,6.43412,2.2727,7324,466,thing,Eriantys,2,4,30,30,30,2021,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Eruption,88594,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307105,5.69623,6.10197,2.0175,5756,1037,thing,Eruption,2,6,60,60,30,2011,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Escape: The Curse of the Temple,113294,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87378769,6.77665,6.96312,1.4762,726,21291,thing,Escape: The Curse of the Temple,1,5,10,10,10,2012,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Il était une forêt,151467,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696640,5.45832,4.86242,1.3333,25535,116,thing,Il était une forêt,2,4,15,15,15,2013,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Ethnos,206718,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103492079,7.175,7.46086,2.09,302,15872,thing,Ethnos,2,6,60,60,45,2017,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Evergreen,363307,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96221475,6.59179,7.49954,2.1286,1036,4228,thing,Evergreen,1,4,45,45,45,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
EVL,340377,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,85725206,5.49902,5.59472,1.5,22070,12,thing,EVL,2,2,20,20,10,2021,,,,No necessary in-game text,,,,,,standalone,,,,,
Evo,23228,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308326,5.48959,5.28312,1.6,23636,42,thing,Evo,2,4,30,30,30,0,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Exhibition: 20th Century,299544,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,92166262,5.61152,7.00333,1.75,7897,256,thing,Exhibition: 20th Century,1,5,50,50,20,2021,,,8+,,,,,,,standalone,,,,,
Exit Strategy,380728,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104865351,5.46277,4.85448,1,25403,16,thing,Exit Strategy,2,6,30,30,10,2023,,,,,,,,,,standalone,,,,,
